Linha,Ordem,Descrição da Ordem,Estabelecimento,Nome Estabelecimento,Equipamento,Nome Equipamento,Tag,Descrição do Tag,Tipo de Manutenção,Descrição do Tipo Manutenção,Manutenção,Descrição da Manutenção,Plano,Urgência,Criticidade,Prioridade,Data Manutenção,Data Termino,Previsão Término,Inicio mais cedo,Inicio mais tarde,Data Inicio Original,Data Reabertura,Data Realocação,Data Prevista Manutenção,Parada,Descrição da Parada,Projeto,Descrição do Projeto,Analista,Nome do Analista,Planejador,Nome do Planejador,Equipe,Nome da Equipe,Causa,Descrição Causa,Sintoma,Descrição Sintoma,Intervenção,Descrição Intervenção,Empresa,Ord. Investimento,Conta da Ordem,Conta de Investimento,Ordem de Origem,Tarefa de Origem,Valor Contador,Valor Contador Acumulado,Taxa Produção,Custo Hora,Tempo Parada,Horas Reportadas,Valor Material,Valor Mão de Obra,Valor GGF,Estado,Estado OM,Estado da Preditiva,Usuário de Criação,Ordem Impressa,Observação Encerramento OM
0000000001,1265144,PEÇAS VERIFICADAS NA PREVENTIVA,1,METALURGICA MOR S.A - MATRIZ,15.264/000,ROBO STRONG 40 1000T - INJETORA 38,,TAG GERAL,10,Preventiva,67,MANUTENÇÃO CORRETIVA PLASTICOS - MATRIZ,Manutenção,1,2,400,25/04/2025,,25/04/2025,25/04/2025,25/04/2025,25/04/2025,,,25/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,,,,,,,1,0,18001010,41201004,0,0,0,0,0,0,0,0,"2338,55",0,0,Requisitada,Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,EXECUTAR MANUTENÇÃO PARA QUE O EQUIPAMENTO RETORNE PARA PRODUÇÃO.
0000000002,1265145,PEÇAS VERIFICADAS NA PREVENTIVA,1,METALURGICA MOR S.A - MATRIZ,15.263/000,ROBO STRONG 40 1000T - INJETORA 17,,TAG GERAL,10,Preventiva,67,MANUTENÇÃO CORRETIVA PLASTICOS - MATRIZ,Manutenção,1,2,400,25/04/2025,,25/04/2025,25/04/2025,25/04/2025,25/04/2025,,,25/04/2025,,,,,,,FERNANDOW,Fernando Wolf Junior,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,,,,,,,1,0,18001010,41201004,0,0,0,0,0,0,0,0,"390,96",0,0,Requisitada,Iniciada,Ok,matheus.lo - Matheus Henrique Lopes,no,EXECUTAR MANUTENÇÃO PARA QUE O EQUIPAMENTO RETORNE PARA PRODUÇÃO.
0000000003,782829,PREVENTIVA ROBÔ - SEMESTRAL,1,METALURGICA MOR S.A - MATRIZ,15.261/000,ROBO SUCCESS 33 750T- 800T - INJETORA 5,,TAG GERAL,10,Preventiva,F5ROB180,PREVENTIVA ROBÔ - SEMESTRAL,Plano de Equipamento,3,2,600,29/04/2025,,29/04/2025,29/04/2025,29/04/2025,15/05/2025,,,29/04/2025,,,,,,,ADM.MOLDE.RS,ADMINISTRAÇÃO MOLDES RS,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,fernandow - Fernando Wolf Junior,no,Lubrificação dos Patins de Recirculação de Esferas  Lubrificação das Guias Lineares  Reaperto dos parafusos de fixação robô - injetora  Reaperto dos parafusos de fixação suporte - trave  Reaperto dos parafusos de fixação dos Carros Reaperto dos parafusos de fixação patins Reaperto dos parafusos de fixação guias Verificar o tensionamento das correias Verificação fim de curso e sensores          Verificação da integridade dos cabos de movimento  Limpeza dos filtros de ventilação do quadro  Limpeza interna do quadro (aspiração do pó) Reaperto dos bornes/ relés/ conectores  Reaperto conectores motores Reaperto sensores e cabos Testes dos sinais da interface da injetora Verificação do funcionamento teclas de emergência Verificação das proteções de segurança Verificação do CLP de segurança Verificação da integridade das ventosas e tubos de ar Verificação de eventuais perdas de ar  Verificação das conexões das mangueiras de ar  Controle do conjunto do filtro de descarga de água  Controle de água na linha  Limpeza do conjunto do filtro Conferir movimentos dos cilindros pneumáticos Conferir balanceamento do cilindro vertical Reaperto dos parafusos da rotação
0000000004,782839,PREVENTIVA ROBÔ - SEMESTRAL,1,METALURGICA MOR S.A - MATRIZ,15.260/000,ROBO SUCCESS 33 750T- 800T - INJETORA 6,,TAG GERAL,10,Preventiva,F5ROB180,PREVENTIVA ROBÔ - SEMESTRAL,Plano de Equipamento,3,2,600,29/04/2025,,29/04/2025,29/04/2025,29/04/2025,15/05/2025,,,29/04/2025,,,,,,,ADM.MOLDE.RS,ADMINISTRAÇÃO MOLDES RS,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,fernandow - Fernando Wolf Junior,no,Lubrificação dos Patins de Recirculação de Esferas  Lubrificação das Guias Lineares  Reaperto dos parafusos de fixação robô - injetora  Reaperto dos parafusos de fixação suporte - trave  Reaperto dos parafusos de fixação dos Carros Reaperto dos parafusos de fixação patins Reaperto dos parafusos de fixação guias Verificar o tensionamento das correias Verificação fim de curso e sensores          Verificação da integridade dos cabos de movimento  Limpeza dos filtros de ventilação do quadro  Limpeza interna do quadro (aspiração do pó) Reaperto dos bornes/ relés/ conectores  Reaperto conectores motores Reaperto sensores e cabos Testes dos sinais da interface da injetora Verificação do funcionamento teclas de emergência Verificação das proteções de segurança Verificação do CLP de segurança Verificação da integridade das ventosas e tubos de ar Verificação de eventuais perdas de ar  Verificação das conexões das mangueiras de ar  Controle do conjunto do filtro de descarga de água  Controle de água na linha  Limpeza do conjunto do filtro Conferir movimentos dos cilindros pneumáticos Conferir balanceamento do cilindro vertical Reaperto dos parafusos da rotação
0000000005,782841,PREVENTIVA ROBÔ - SEMESTRAL,1,METALURGICA MOR S.A - MATRIZ,15.264/000,ROBO STRONG 40 1000T - INJETORA 38,,TAG GERAL,10,Preventiva,F5ROB180,PREVENTIVA ROBÔ - SEMESTRAL,Plano de Equipamento,3,2,600,29/04/2025,,29/04/2025,29/04/2025,29/04/2025,15/05/2025,,,29/04/2025,,,,,,,ADM.MOLDE.RS,ADMINISTRAÇÃO MOLDES RS,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,fernandow - Fernando Wolf Junior,no,Lubrificação dos Patins de Recirculação de Esferas  Lubrificação das Guias Lineares  Reaperto dos parafusos de fixação robô - injetora  Reaperto dos parafusos de fixação suporte - trave  Reaperto dos parafusos de fixação dos Carros Reaperto dos parafusos de fixação patins Reaperto dos parafusos de fixação guias Verificar o tensionamento das correias Verificação fim de curso e sensores          Verificação da integridade dos cabos de movimento  Limpeza dos filtros de ventilação do quadro  Limpeza interna do quadro (aspiração do pó) Reaperto dos bornes/ relés/ conectores  Reaperto conectores motores Reaperto sensores e cabos Testes dos sinais da interface da injetora Verificação do funcionamento teclas de emergência Verificação das proteções de segurança Verificação do CLP de segurança Verificação da integridade das ventosas e tubos de ar Verificação de eventuais perdas de ar  Verificação das conexões das mangueiras de ar  Controle do conjunto do filtro de descarga de água  Controle de água na linha  Limpeza do conjunto do filtro Conferir movimentos dos cilindros pneumáticos Conferir balanceamento do cilindro vertical Reaperto dos parafusos da rotação
0000000006,782851,PREVENTIVA ROBÔ - SEMESTRAL,1,METALURGICA MOR S.A - MATRIZ,17.605/000,ROBO SUCCESS 22 - 500T - INJETORA 31,,TAG GERAL,10,Preventiva,F5ROB180,PREVENTIVA ROBÔ - SEMESTRAL,Plano de Equipamento,3,2,600,29/04/2025,,29/04/2025,29/04/2025,29/04/2025,15/05/2025,,,29/04/2025,,,,,,,ADM.MOLDE.RS,ADMINISTRAÇÃO MOLDES RS,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,fernandow - Fernando Wolf Junior,no,Lubrificação dos Patins de Recirculação de Esferas  Lubrificação das Guias Lineares  Reaperto dos parafusos de fixação robô - injetora  Reaperto dos parafusos de fixação suporte - trave  Reaperto dos parafusos de fixação dos Carros Reaperto dos parafusos de fixação patins Reaperto dos parafusos de fixação guias Verificar o tensionamento das correias Verificação fim de curso e sensores          Verificação da integridade dos cabos de movimento  Limpeza dos filtros de ventilação do quadro  Limpeza interna do quadro (aspiração do pó) Reaperto dos bornes/ relés/ conectores  Reaperto conectores motores Reaperto sensores e cabos Testes dos sinais da interface da injetora Verificação do funcionamento teclas de emergência Verificação das proteções de segurança Verificação do CLP de segurança Verificação da integridade das ventosas e tubos de ar Verificação de eventuais perdas de ar  Verificação das conexões das mangueiras de ar  Controle do conjunto do filtro de descarga de água  Controle de água na linha  Limpeza do conjunto do filtro Conferir movimentos dos cilindros pneumáticos Conferir balanceamento do cilindro vertical Reaperto dos parafusos da rotação
0000000007,783497,PREVENTIVA GELADEIRAS - SEMANAL,1,METALURGICA MOR S.A - MATRIZ,20.739/000,TROCADOR DE CALOR TR422 (40.000) - JUP 37,,TAG GERAL,10,Preventiva,F5GEL007,PREVENTIVA GELADEIRAS - SEMANAL,Plano de Equipamento,3,2,600,03/06/2025,,03/06/2025,03/06/2025,03/06/2025,25/06/2025,,,03/06/2025,,,,,,,ADM.MOLDE.RS,ADMINISTRAÇÃO MOLDES RS,MAN-PLAS,MANUTENÇÃO PLASTICOS - MATRIZ,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,fernandow - Fernando Wolf Junior,no,REALIZAR LIMPEZA DO FILTRO
0000000008,784418,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,1,METALURGICA MOR S.A - MATRIZ,13.188/000,CASA DE BOMBAS VERTICALIZADO,,TAG GERAL,10,Preventiva,PPCIMD,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,Plano de Equipamento,3,2,600,19/08/2025,,20/08/2025,12/08/2025,26/08/2025,18/08/2025,,,19/08/2025,,,,,,,GABRIEL,GABRIEL LIMA,EQUIPE 3,VERTICALIZADO,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,INSPEÇÃO,PREVENTIVA OU INSPEÇÃO DO EQUIPAMENTO,1,0,18001010,41201004,0,0,2,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,gabriel.li - GABRIEL JUNKHERR DE LIMA,yes,
0000000009,784419,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,1,METALURGICA MOR S.A - MATRIZ,22.836/000,CASA DE BOMBAS SPRINKLERS PAV. G5,,TAG GERAL,10,Preventiva,PPCIMD,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,Plano de Equipamento,3,2,600,19/08/2025,,20/08/2025,12/08/2025,26/08/2025,18/08/2025,,,19/08/2025,,,,,,,GABRIEL,GABRIEL LIMA,EQUIPE 3,VERTICALIZADO,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,INSPEÇÃO,PREVENTIVA OU INSPEÇÃO DO EQUIPAMENTO,1,0,18001010,41201004,0,0,0,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,gabriel.li - GABRIEL JUNKHERR DE LIMA,yes,
0000000010,784420,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,1,METALURGICA MOR S.A - MATRIZ,13.816/000,CASA DE BOMBAS FABRICA,,TAG GERAL,10,Preventiva,PPCIMD,MANUTENÇÃO PREVENTIVA MOTORES DIESEL,Plano de Equipamento,3,2,600,19/08/2025,,20/08/2025,18/08/2025,29/08/2025,18/08/2025,,,19/08/2025,,,,,,,GABRIEL,GABRIEL LIMA,EQUIPE 3,VERTICALIZADO,PREV,MANUTENÇÃO PREVENTIVA,PREV,MANUTENÇÃO PREVENTIVA,INSPEÇÃO,PREVENTIVA OU INSPEÇÃO DO EQUIPAMENTO,1,0,18001010,41201004,0,0,2,0,0,0,0,0,0,0,0,Não Iniciada,Não Iniciada,Ok,gabriel.li - GABRIEL JUNKHERR DE LIMA,yes,
